block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time
3,7,recognition,studied,True,PLACEHOLDERS/IMAGE_30.png,1764824615.798731,False,0.18402777777777782,4.755213022232056,1764824624.354439,False,1764824620.791596,0.6004768394530714,2.1209498595939382,1764824616.799121,1764824618.432759,False,stay,1.0028860569000244,1764824627.46982,False,1764824626.466934,0.18402777777777782,False,0.0,True,0.18402777777777782,0.6004768394530714,0.4164490616752936,1764824627.475113,0.8159722222222222,False,
3,8,recognition,studied,True,PLACEHOLDERS/IMAGE_44.png,1764824629.5120451,False,0.059027777777777776,3.8527228832244873,1764824636.668649,False,1764824634.699824,0.8073868569360181,1.441517918142373,1764824630.512335,1764824631.663052,False,stay,1.1495280265808105,1764824639.935256,False,1764824638.785727,0.059027777777777776,False,0.0,True,0.059027777777777776,0.8073868569360181,0.7483590791582403,1764824639.9363542,0.9409722222222222,False,
3,9,recognition,studied,True,PLACEHOLDERS/IMAGE_62.png,1764824641.9773781,False,0.861111111111111,5.225056171417236,1764824650.8366332,False,1764824647.08516,0.21656791045924464,1.92558603388932,1764824642.9776561,1764824644.451806,True,stay,2.3397481441497803,1764824655.292047,False,1764824652.952298,0.861111111111111,False,0.0,False,0.861111111111111,0.21656791045924464,0.6445432006518664,1764824655.2936058,0.13888888888888895,False,
3,10,recognition,lure,False,PLACEHOLDERS/LURE_73.png,1764824657.329576,False,0.0798611111111111,2.856706142425537,1764824663.944014,False,1764824662.802346,0.07461934454950377,2.0083362451389934,1764824658.330695,1764824659.9261189,False,stay,0.7462689876556396,1764824666.802207,False,1764824666.055938,0.0798611111111111,False,1.0,False,0.9201388888888888,0.9253806554504962,0.005241766561607339,1764824666.808675,0.07986111111111116,False,
4,1,recognition,lure,False,PLACEHOLDERS/LURE_7.png,1764824896.926097,False,0.06944444444444448,4.406847238540649,1764824904.66857,False,1764824903.8165078,0.9492848771752408,1.4301790608794305,1764824897.931272,1764824899.1008902,True,stay,0.9355571269989014,1764824907.751137,False,1764824906.815579,0.06944444444444448,False,1.0,False,0.9305555555555556,0.05071512282475921,0.8798404327307963,1764824907.757186,0.06944444444444442,False,
4,2,recognition,studied,True,PLACEHOLDERS/IMAGE_93.png,1764824909.782511,False,0.026041666666666713,4.6114349365234375,1764824917.600139,False,1764824915.7019148,0.5092514977770627,1.2927795381622678,1764824910.782779,1764824911.829945,False,stay,0.907822847366333,1764824920.6329339,False,1764824919.725111,0.026041666666666713,False,0.0,True,0.026041666666666713,0.5092514977770627,0.48320983111039595,1764824920.634113,0.9739583333333333,False,
4,3,recognition,studied,True,PLACEHOLDERS/IMAGE_96.png,1764824922.664567,False,0.17744598187133698,7.011730909347534,1764824932.949974,True,1764824931.5179389,0.5,1.358535682117573,1764824923.664905,1764824924.7766132,True,switch,1.4760117530822754,1764824938.0504808,False,1764824936.5744681,0.5,True,0.0,False,0.17744598187133698,0.5,0.322554018128663,1764824938.056802,1.0,True,1764824939.577885
4,4,recognition,lure,False,PLACEHOLDERS/LURE_17.png,1764824942.093871,False,0.9027777777777779,4.143742799758911,1764824949.985282,False,1764824947.684221,0.791775465346356,2.0102041307980723,1764824943.094301,1764824944.684318,True,stay,4.226164102554321,1764824956.3176541,False,1764824952.09149,0.9027777777777779,False,1.0,True,0.0972222222222221,0.208224534653644,0.11100231243142189,1764824956.32545,0.9027777777777779,False,
4,5,recognition,studied,True,PLACEHOLDERS/IMAGE_80.png,1764824958.3619041,False,0.9878472222222223,6.562227964401245,1764824967.950442,False,1764824964.633735,0.42678874541278194,1.062780456433347,1764824959.362228,1764824960.224324,True,stay,1.3883728981018066,1764824971.450867,False,1764824970.062494,0.9878472222222223,False,0.0,False,0.9878472222222223,0.42678874541278194,0.5610584768094404,1764824971.456752,0.012152777777777679,False,
4,6,recognition,lure,False,PLACEHOLDERS/LURE_98.png,1764824973.491125,False,0.859375,2.911566972732544,1764824979.567308,False,1764824978.687733,0.7809321452673245,1.2737863853816864,1764824974.4914958,1764824975.4942322,True,stay,4.870692729949951,1764824986.567262,False,1764824981.696568,0.859375,False,1.0,True,0.140625,0.21906785473267554,0.07844285473267554,1764824986.572413,0.859375,False,
4,7,recognition,studied,True,PLACEHOLDERS/IMAGE_4.png,1764824988.598421,False,0.11249689977287369,7.00121808052063,1764824999.717503,True,1764824997.442559,0.42442817565785,2.4659660589226755,1764824989.5993369,1764824991.510868,True,stay,1.0420360565185547,1764825004.400227,False,1764825003.358191,0.11249689977287369,False,0.0,True,0.11249689977287369,0.42442817565785,0.3119312758849763,1764825004.407178,0.8875031002271263,False,
4,8,recognition,studied,True,PLACEHOLDERS/IMAGE_55.png,1764825006.429627,False,0.10243055555555561,3.9232521057128906,1764825013.833746,False,1764825012.3002691,0.407539016456155,1.6758451779328027,1764825007.430021,1764825008.747963,True,stay,0.989678144454956,1764825016.949228,False,1764825015.95955,0.10243055555555561,False,0.0,True,0.10243055555555561,0.407539016456155,0.3051084609005994,1764825016.950795,0.8975694444444444,False,
4,9,recognition,lure,False,PLACEHOLDERS/LURE_29.png,1764825018.982848,False,0.8628472222222222,3.9252591133117676,1764825026.39974,False,1764825024.0187361,0.8037565210085055,1.6926044434413645,1764825019.9831629,1764825021.3140101,True,stay,1.246380090713501,1764825029.7660758,False,1764825028.5196958,0.8628472222222222,False,1.0,True,0.1371527777777778,0.19624347899149452,0.059090701213716734,1764825029.767731,0.8628472222222222,False,
4,10,recognition,lure,False,PLACEHOLDERS/LURE_91.png,1764825031.792716,False,0.3229166666666667,4.084786891937256,1764825039.849814,False,1764825038.599607,0.24873344009126963,2.318002071835871,1764825032.7931461,1764825034.605013,False,stay,0.7527518272399902,1764825042.7346659,False,1764825041.981914,0.3229166666666667,False,1.0,False,0.6770833333333333,0.7512665599087304,0.07418322657539705,1764825042.7383401,0.32291666666666674,False,
