block,phase,trial,image_path,study_fixation_onset_trigger,study_fixation_offset_trigger,fixation_duration,study_image_onset_trigger,study_image_offset_trigger,image_duration
7,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Ant\Image_051.jpg,1771261529.1929786,1771261529.5027406,0.2876881708215378,1771261529.5572789,1771261530.5826085,1.0
7,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Burrito\Image_032.jpg,1771261530.6151264,1771261531.3754864,0.7419754540197844,1771261531.4942012,1771261532.5171897,1.0
7,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Horse\Image_008.jpg,1771261532.548974,1771261533.2718198,0.7064367304058743,1771261533.333857,1771261534.3478668,1.0
7,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Mouse\Image_069.jpg,1771261534.3907216,1771261535.083581,0.669191744140232,1771261535.2188678,1771261536.242497,1.0
7,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Football\Image_076.jpg,1771261536.2740636,1771261536.7107315,0.4127549411100505,1771261536.7581947,1771261537.7784767,1.0
7,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Parrot\Image_028.jpg,1771261537.807875,1771261538.4734952,0.6415714076835668,1771261538.531684,1771261539.5495408,1.0
7,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Banana\Image_042.jpg,1771261539.5778651,1771261540.169579,0.5737908137505022,1771261540.441726,1771261541.4686334,1.0
7,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\hottub\Image_018.jpg,1771261541.4978914,1771261541.8342314,0.31921401377678643,1771261541.895043,1771261542.9148746,1.0
8,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Pie\Image_038.jpg,1771261662.6106021,1771261663.1472764,0.5070087634385714,1771261663.2149189,1771261664.2278194,1.0
8,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Globe\Image_078.jpg,1771261664.2577662,1771261664.614416,0.3390451832594436,1771261664.6438177,1771261665.6654382,1.0
8,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Phonebooth\Image_020.jpg,1771261665.6938827,1771261666.3427382,0.6254309545033709,1771261666.3926868,1771261667.4143004,1.0
8,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\bokchoy\Image_086.jpg,1771261667.4406893,1771261667.744532,0.28197593165231705,1771261667.7821784,1771261668.7979019,1.0
8,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Mulberry\Image_045.jpg,1771261668.8279116,1771261669.2551675,0.407566866272607,1771261669.317795,1771261670.3325639,1.0
8,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Beetle\Image_053.jpg,1771261670.3604162,1771261670.796927,0.4154777454700521,1771261670.974745,1771261671.9982324,1.0
8,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Chicken\Image_021.jpg,1771261672.0238886,1771261672.4562058,0.40703666210251505,1771261672.517565,1771261673.5312252,1.0
8,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Jetski\Image_099.jpg,1771261673.569192,1771261674.0501997,0.4678826259224478,1771261674.117251,1771261675.131325,1.0
8,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Alligator\Image_001.jpg,1771261675.1572614,1771261675.8363364,0.6547490668398614,1771261675.8879313,1771261676.8996832,1.0
8,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Beaver\Image_061.jpg,1771261676.9286895,1771261677.2924228,0.34216188081305765,1771261677.351905,1771261678.363584,1.0
9,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Donut\Image_034.jpg,1771261786.8240018,1771261787.6017458,0.7462442978477004,1771261787.6532874,1771261788.6743987,1.0
9,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Koala\Image_067.jpg,1771261788.7031324,1771261789.2704883,0.5462364725128281,1771261789.3421397,1771261790.3570373,1.0
9,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Zebra\Image_010.jpg,1771261790.3842502,1771261791.0003784,0.5917528755829762,1771261791.0616088,1771261792.0748618,1.0
